1100 5000
352 274 2400
357 377 7376
817 570 4288
633 479 5079
1001 67 671
528 1091 9531
632 232 3831
1005 341 6541
853 444 7897
269 174 3067
184 525 2340
84 1033 2868
511 750 3937
98 434 7268
28 334 4134
650 1014 9676
881 545 3059
663 450 7999
655 354 1395
852 774 2768
70 957 1245
509 92 2977
529 603 3326
17 852 1359
1084 880 4993
17 581 1006
345 361 9102
903 75 4351
854 730 456
148 633 7729
867 702 5786
1011 262 9729
1088 790 4231
965 959 2635
24 942 3666
668 11 4346
125 355 4207
126 309 6133
729 62 3962
584 361 4646
265 128 8547
902 190 7061
530 177 6702
913 194 7760
1047 369 7502
12 1036 6412
657 212 4166
715 337 174
848 117 8788
761 853 5048
207 17 4427
505 918 1817
1065 499 6545
367 311 1938
778 409 2058
879 420 9193
42 129 9756
507 995 3793
333 742 1061
372 555 9313
771 913 8981
198 317 5850
1066 434 9649
1010 952 7311
200 629 5120
857 560 3091
502 601 9219
357 160 414
701 492 2807
214 1015 6713
426 685 425
807 1034 5194
56 999 1727
1056 1061 3078
167 160 3358
786 68 3717
876 569 6918
147 1078 3477
260 830 9920
318 1043 5034
931 369 6570
407 227 2604
200 434 7654
578 390 1914
655 556 3673
565 393 7693
881 168 461
698 466 790
826 725 6120
345 95 214
1030 1025 6034
352 483 2560
707 683 1994
960 160 3983
74 967 2190
598 431 5382
90 211 3001
151 1061 4267
492 938 5943
563 335 837
577 416 2013
10 767 9896
922 373 6030
67 233 5789
701 306 1307
790 1055 3237
171 45 8000
23 347 2512
189 838 249
284 301 7483
320 1029 5599
585 90 7517
232 1011 9490
561 1077 1874
101 677 231
760 518 4585
596 840 2629
947 863 1175
310 103 7365
459 386 7317
1093 858 1245
1043 494 7886
660 725 7097
801 337 9925
74 589 354
904 248 6923
740 996 8663
469 842 1277
695 52 2679
659 662 1517
127 806 8626
623 749 6019
109 460 6295
757 312 9131
281 385 3019
786 340 5619
709 131 3814
523 599 1955
99 346 5258
1029 56 3971
145 183 5577
270 805 8377
888 913 9888
334 569 9599
1064 1002 5735
335 839 2174
953 447 6204
366 21 455
772 119 6100
282 48 3207
604 344 6389
480 766 5946
308 705 7058
595 1039 5879
93 1002 2332
127 388 6770
652 240 2469
56 757 8089
362 581 1260
1013 1014 4659
619 517 9802
408 997 1667
53 204 6272
762 799 9910
1092 891 8063
375 70 3751
497 721 8942
117 776 7451
857 189 1231
616 101 8244
574 872 2460
876 179 5808
994 383 6664
717 196 8562
226 340 3804
1041 866 1773
43 262 994
384 378 4021
534 135 7662
316 902 1662
11 376 8285
71 303 1215
330 348 6397
793 1065 9945
6 342 7736
110 282 2101
434 324 2515
379 860 5092
152 445 6978
113 913 9432
326 923 4407
311 993 761
625 375 3808
374 67 6172
470 73 4114
1057 334 2047
157 919 3723
771 350 4434
815 501 5278
44 765 190
175 1090 7413
833 452 5757
693 129 7383
901 654 6250
124 175 9974
789 131 6007
636 287 5177
10 110 2126
243 1076 7226
1072 19 842
614 346 8284
1078 78 7835
486 923 3415
269 875 5068
118 998 5442
191 687 8624
749 374 4011
177 383 3172
903 777 4847
80 748 8717
22 261 7862
105 390 9392
791 876 7714
658 44 2988
1025 161 7737
619 503 6075
494 303 48
504 479 6082
775 433 8610
73 665 2910
490 686 9170
151 942 212
194 632 9087
1007 341 9530
646 266 4142
183 1036 2896
557 429 1798
357 1085 8728
690 911 5813
700 36 277
509 525 9314
730 827 4855
241 1021 7438
627 1079 479
108 625 5396
849 959 3983
44 567 4863
793 1075 8399
1073 665 1410
685 416 1445
13 924 7221
26 705 247
32 1098 2619
669 624 5698
699 732 5174
994 632 8784
428 676 6250
291 368 325
441 492 3441
402 228 7856
398 240 2831
918 265 7535
217 296 8532
535 17 4908
984 715 6191
9 761 6522
1092 88 5149
542 530 3869
118 23 7760
510 424 8988
65 822 4179
847 639 9944
1081 855 191
365 442 2359
424 325 574
266 334 9286
739 477 6125
788 70 2307
408 187 6229
519 696 5652
858 912 8373
337 658 7964
232 791 4670
422 207 1111
933 630 5688
1058 895 3573
843 685 3549
867 372 8219
625 931 4257
253 350 5105
